,City ,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
217,Massakory,0,TD,1518631892,24,13,15.73,86.58,10.76
218,Udachnyy,20,RU,1518631893,72,66.42,112.4,-11.48,4.05
219,Taoudenni,0,ML,1518631893,13,22.68,-3.98,72.54,8.3
220,Flin Flon,75,CA,1518627600,70,54.77,-101.88,1.4,13.87
221,Sokoni,12,CD,1518631894,68,-12.89,28.78,73.26,4.72
222,Cidreira,0,BR,1518631895,66,-30.17,-50.22,77.26,14.34
223,Barentu,0,ER,1518631895,26,15.11,37.59,77.31,6.29
224,Filingue,0,NE,1518631896,36,14.35,3.32,83.92,3.6
225,Oistins,40,BB,1518627600,69,13.07,-59.53,82.4,26.4
226,Chateauroux,92,FR,1518631200,100,43.72,0.65,44.6,5.82
227,Saint-Joseph,0,FR,1518631200,74,43.56,6.97,46.36,2.24
228,Aklavik,5,CA,1518627600,66,68.22,-135.01,-28.41,5.82
229,Krasnokamensk,24,RU,1518631899,58,50.1,118.04,-13.6,3.49
230,Gawler,0,AU,1518629400,76,-34.6,138.75,57.2,1.12
231,Port Augusta,0,AU,1518627600,72,-32.49,137.76,66.2,8.05
232,Hays,1,US,1518627360,45,38.88,-99.33,44.22,9.17
233,Riorges,0,FR,1518631200,83,46.04,4.03,38.26,5.82
234,Kano,0,NG,1518627600,12,11.99,8.53,86,9.17
235,Nouakchott,68,MR,1518631903,81,18.08,-15.98,68.89,18.25
236,Narsaq,75,GL,1518630600,55,60.91,-46.05,6.8,12.75
237,Russell,20,AR,1518627600,39,-33.01,-68.8,84.2,4.7
238,Waterfoot,75,GB,1518630600,87,53.69,-2.25,41.45,10.29
239,Fethiye,40,TR,1518628800,51,36.62,29.12,59,9.17
240,Bolshaya Martynovka,88,RU,1518631906,93,47.27,41.67,29.38,8.86
241,Puerto Colombia,0,CO,1518627600,66,10.99,-74.96,84.2,27.51
242,Tara,90,JP,1518629400,81,33,130.15,44.58,9.17
243,Mataura,44,NZ,1518631908,97,-46.19,168.86,43.78,3.49
244,Esperance,75,TT,1518627960,61,10.24,-61.45,82.4,13.87
245,Darnah,0,LY,1518631911,100,32.77,22.64,61.83,16.58
246,Arvin,90,US,1518629700,54,35.21,-118.83,47.21,6.93
